example_id,label,id,article_id,statement
q-1,07 năm,01/VBHN-VPQH,418,Chiếm đoạt di vật của tử sĩ có thể bị phạt tù lên đến bao nhiêu năm?
q-2,18 tuổi,01/VBHN-VPQH,39,"Theo Bộ luật Hình sự năm 2017, không áp dụng hình phạt tù chung thân đối với người dưới bao nhiêu tuổi phạm tội?"
q-3,16 tuổi,01/VBHN-VPQH,12,"Theo Bộ luật Hình sự năm 2017, người từ đủ bao nhiêu tuổi phải chịu trách nhiệm hình sự về mọi tội phạm, trừ những tội phạm mà Bộ luật này có quy định khác?"
q-4,Cảnh cáo,01/VBHN-VPQH,34,"Người phạm tội ít nghiêm trọng và có nhiều tình tiết giảm nhẹ, nhưng chưa đến mức miễn hình phạt thì được áp dụng mức hình phạt nào?"
q-5,tù chung thân,01/VBHN-VPQH,40,"Trong trường hợp người bị kết án tử hình được ân giảm, thì hình phạt tử hình được chuyển thành hình phạt gì?"
q-6,01 năm đến 05 năm,01/VBHN-VPQH,42,"Thời hạn cấm cư trú là từ bao nhiêu đến bao nhiêu năm, kể từ ngày chấp hành xong hình phạt tù?"
q-7,ngân sách nhà nước,01/VBHN-VPQH,45,"Khi bị tịch thu tài sản, phần tài sản bị tịch thu của người bị kết án sẽ nộp vào đâu?"
q-8,từ 01 năm đến 05 năm,01/VBHN-VPQH,108,Người chuẩn bị phạm tội phản bội Tổ quốc thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?
q-9,hình sự,01/VBHN-VPQH,110,"Người đã nhận làm gián điệp, nhưng không thực hiện nhiệm vụ được giao và tự thú, thành khẩn khai báo với cơ quan nhà nước có thẩm quyền, thì được miễn trách nhiệm gì về tội gián điệp?"
q-10,01 năm,01/VBHN-VPQH,420,"Người ngược đãi tù binh, hàng binh, thì bị phạt cải tạo không giam giữ đến bao nhiêu năm?"
q-11,từ 05 năm đến 15 năm,01/VBHN-VPQH,425,"Người làm lính đánh thuê nhằm chống một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền, thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?"
q-12,từ 03 năm đến 10 năm,01/VBHN-VPQH,417,Người có trách nhiệm mà cố ý bỏ nhiều hơn 2 thương binh tại trận địa dẫn đến thương binh bị chết thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?
